"","X","age","voted","party","registered","method_vote"
"1806",1806,37,"yes","Independent","Yes","Dontknow_skipped_notasked"
"1807",1807,58,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1808",1808,81,"yes","Independent","Yes","In person on election day"
"1809",1809,31,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1810",1810,30,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1811",1811,59,"yes","Republican","Yes","In person early"
"1812",1812,52,"yes","Independent","Yes","Dontknow_skipped_notasked"
"1813",1813,77,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1814",1814,61,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1815",1815,33,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1816",1816,60,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1817",1817,74,"yes","Democrat","Yes","In person early"
"1818",1818,66,"yes","Democrat","Yes","In person on election day"
"1819",1819,69,"yes","Democrat","Yes","Voted by mail or absentee"
"1820",1820,23,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1821",1821,61,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1822",1822,51,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1823",1823,66,"yes","Democrat","Yes","In person on election day"
"1824",1824,69,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1825",1825,38,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1826",1826,55,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1827",1827,64,"yes","Democrat","Yes","In person on election day"
"1828",1828,51,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1829",1829,31,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1830",1830,33,"yes","Democrat","Yes","In person on election day"
"1831",1831,44,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1832",1832,59,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1833",1833,63,"yes","Democrat","Yes","Voted by mail or absentee"
"1834",1834,29,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1835",1835,56,"yes","Republican","Yes","Voted by mail or absentee"
"1836",1836,45,"yes","Democrat","Yes","In person on election day"
"1837",1837,47,"yes","Democrat","Yes","In person on election day"
"1838",1838,50,"yes","Democrat","Yes","In person on election day"
"1839",1839,69,"yes","Democrat","Yes","In person on election day"
"1840",1840,66,"yes","Democrat","Yes","In person on election day"
"1841",1841,56,"yes","Democrat","Yes","In person on election day"
"1842",1842,69,"yes","Independent","Yes","In person on election day"
"1843",1843,58,"yes","Democrat","Yes","Voted by mail or absentee"
"1844",1844,36,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1845",1845,34,"no","Independent","Yes","Dontknow_skipped_notasked"
"1846",1846,27,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1847",1847,26,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1848",1848,53,"yes","Democrat","Yes","In person early"
"1849",1849,27,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1850",1850,26,"yes","Independent","Yes","In person on election day"
"1851",1851,34,"yes","Independent","Yes","In person on election day"
"1852",1852,65,"yes","Democrat","Yes","In person on election day"
"1853",1853,57,"yes","Republican","Yes","In person on election day"
"1854",1854,64,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1855",1855,54,"yes","Democrat","Yes","Voted by mail or absentee"
"1856",1856,46,"yes","Republican","Yes","In person on election day"
"1857",1857,27,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1858",1858,66,"yes","Democrat","Yes","Voted by mail or absentee"
"1859",1859,53,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1860",1860,32,"no","Republican","Yes","Dontknow_skipped_notasked"
"1861",1861,35,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1862",1862,29,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1863",1863,57,"yes","Independent","Yes","In person on election day"
"1864",1864,24,"yes","Independent","Yes","In person on election day"
"1865",1865,58,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1866",1866,34,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1867",1867,49,"yes","Democrat","Yes","In person on election day"
"1868",1868,62,"yes","Republican","Yes","In person on election day"
"1869",1869,60,"yes","Republican","Yes","In person early"
"1870",1870,51,"yes","Republican","Yes","In person on election day"
"1871",1871,68,"yes","Republican","Yes","In person early"
"1872",1872,65,"yes","Republican","Yes","In person early"
"1873",1873,66,"no","Democrat","Yes","Dontknow_skipped_notasked"
"1874",1874,58,"yes","Democrat","Yes","In person on election day"
"1875",1875,65,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1876",1876,60,"yes","Republican","Yes","In person early"
"1877",1877,63,"yes","Democrat","Yes","In person on election day"
"1878",1878,52,"yes","Democrat","Yes","In person on election day"
"1879",1879,69,"yes","Republican","Yes","In person on election day"
"1880",1880,58,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1881",1881,67,"yes","Independent","Yes","In person on election day"
"1882",1882,62,"yes","Independent","Yes","Voted by mail or absentee"
"1883",1883,66,"yes","Republican","Yes","In person on election day"
"1884",1884,68,"yes","Republican","Yes","Voted by mail or absentee"
"1885",1885,61,"yes","Other","Yes","Voted by mail or absentee"
"1886",1886,57,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1887",1887,69,"yes","Independent","Yes","In person on election day"
"1888",1888,57,"yes","Democrat","Yes","In person on election day"
"1889",1889,68,"yes","Democrat","Yes","In person early"
"1890",1890,59,"yes","Republican","Yes","In person on election day"
"1891",1891,68,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1892",1892,66,"yes","Democrat","Yes","In person on election day"
"1893",1893,50,"yes","Republican","Yes","In person on election day"
"1894",1894,62,"yes","Republican","Yes","In person on election day"
"1895",1895,54,"yes","Other","Yes","In person on election day"
"1896",1896,55,"yes","Republican","Yes","In person on election day"
"1897",1897,65,"yes","Republican","Yes","In person on election day"
"1898",1898,58,"yes","Democrat","Yes","In person on election day"
"1899",1899,60,"yes","Independent","Yes","In person on election day"
"1900",1900,61,"yes","Democrat","Yes","In person on election day"
"1901",1901,65,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1902",1902,53,"yes","Republican","Yes","In person on election day"
"1903",1903,55,"yes","Republican","Yes","Voted by mail or absentee"
"1904",1904,60,"yes","Democrat","Yes","In person on election day"
"1905",1905,58,"yes","Independent","Yes","In person on election day"
"1906",1906,58,"yes","Republican","Yes","Voted by mail or absentee"
"1907",1907,66,"yes","Democrat","Yes","In person on election day"
"1908",1908,56,"yes","Independent","Yes","In person early"
"1909",1909,64,"yes","Republican","Yes","In person on election day"
"1910",1910,52,"yes","Democrat","Yes","In person on election day"
"1911",1911,65,"yes","Independent","Yes","Voted by mail or absentee"
"1912",1912,63,"no","Other","Yes","Dontknow_skipped_notasked"
"1913",1913,66,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1914",1914,65,"yes","Democrat","Yes","Voted by mail or absentee"
"1915",1915,52,"yes","Independent","Yes","In person on election day"
"1916",1916,52,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1917",1917,65,"yes","Democrat","Yes","Voted by mail or absentee"
"1918",1918,66,"yes","Independent","Yes","In person early"
"1919",1919,56,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1920",1920,61,"yes","Democrat","Yes","Voted by mail or absentee"
"1921",1921,53,"yes","Republican","Yes","In person early"
"1922",1922,62,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1923",1923,57,"NAorMissing","Other","Yes","Dontknow_skipped_notasked"
"1924",1924,65,"yes","Independent","Yes","Voted by mail or absentee"
"1925",1925,59,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1926",1926,58,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1927",1927,53,"yes","Democrat","Yes","Voted by mail or absentee"
"1928",1928,60,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1929",1929,55,"yes","Independent","Yes","In person on election day"
"1930",1930,65,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1931",1931,65,"yes","Republican","Yes","In person early"
"1932",1932,67,"yes","Democrat","Yes","In person early"
"1933",1933,68,"yes","Democrat","Yes","In person on election day"
"1934",1934,53,"yes","Republican","Yes","In person on election day"
"1935",1935,55,"yes","Democrat","Yes","Voted by mail or absentee"
"1936",1936,67,"yes","Democrat","Yes","Voted by mail or absentee"
"1937",1937,58,"yes","Republican","Yes","In person on election day"
"1938",1938,61,"yes","Independent","Yes","Voted by mail or absentee"
"1939",1939,57,"yes","Republican","Yes","Voted by mail or absentee"
"1940",1940,56,"yes","Republican","Yes","In person on election day"
"1941",1941,67,"yes","Independent","Yes","Dontknow_skipped_notasked"
"1942",1942,69,"yes","Democrat","Yes","In person on election day"
"1943",1943,62,"yes","Independent","Yes","In person on election day"
"1944",1944,64,"yes","Democrat","Yes","In person on election day"
"1945",1945,66,"yes","Republican","Yes","In person early"
"1946",1946,59,"yes","Democrat","Yes","In person on election day"
"1947",1947,67,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1948",1948,61,"yes","Independent","Yes","Voted by mail or absentee"
"1949",1949,50,"yes","Independent","Yes","In person on election day"
"1950",1950,67,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1951",1951,69,"yes","Independent","Yes","In person early"
"1952",1952,66,"yes","Republican","Yes","Voted by mail or absentee"
"1953",1953,57,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1954",1954,56,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1955",1955,63,"yes","Republican","Yes","In person on election day"
"1956",1956,66,"yes","Republican","Yes","In person on election day"
"1957",1957,67,"yes","Democrat","Yes","In person early"
"1958",1958,64,"yes","Independent","Yes","In person on election day"
"1959",1959,61,"no","Republican","Yes","Dontknow_skipped_notasked"
"1960",1960,67,"yes","Independent","Yes","In person on election day"
"1961",1961,53,"yes","Independent","Yes","In person on election day"
"1962",1962,54,"yes","Republican","Yes","In person early"
"1963",1963,68,"yes","Independent","Yes","In person on election day"
"1964",1964,57,"yes","Independent","Yes","In person on election day"
"1965",1965,63,"yes","Democrat","Yes","In person early"
"1966",1966,54,"yes","Republican","Yes","In person early"
"1967",1967,58,"yes","Democrat","Yes","Voted by mail or absentee"
"1968",1968,60,"yes","Independent","Yes","In person early"
"1969",1969,57,"yes","Republican","Yes","In person on election day"
"1970",1970,60,"yes","Democrat","Yes","In person early"
"1971",1971,68,"yes","Republican","Yes","In person on election day"
"1972",1972,56,"yes","Republican","Yes","Voted by mail or absentee"
"1973",1973,59,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1974",1974,59,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1975",1975,67,"yes","Republican","Yes","In person on election day"
"1976",1976,64,"yes","Democrat","Yes","In person on election day"
"1977",1977,66,"yes","Democrat","Yes","Voted by mail or absentee"
"1978",1978,50,"yes","Independent","Yes","In person on election day"
"1979",1979,66,"yes","Democrat","Yes","Voted by mail or absentee"
"1980",1980,68,"yes","Democrat","Yes","Voted by mail or absentee"
"1981",1981,63,"yes","Democrat","Yes","In person on election day"
"1982",1982,57,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1983",1983,57,"yes","Other","Yes","Voted by mail or absentee"
"1984",1984,59,"yes","Republican","Yes","In person on election day"
"1985",1985,68,"yes","Republican","Yes","In person on election day"
"1986",1986,36,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1987",1987,44,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1988",1988,71,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1989",1989,73,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1990",1990,70,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1991",1991,65,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1992",1992,42,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1993",1993,35,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1994",1994,46,"yes","Republican","Yes","In person on election day"
"1995",1995,64,"yes","Democrat","Yes","Voted by mail or absentee"
